date,open,close,high,low,volume,money,change,adjclose,symbol
2020-03-06,6236.26,6296.74,6344.08,6225.7,266263127.0,254972182528.0,1.87,6296.74,sh000852
2020-03-09,6198.2,6049.62,6239.25,6049.62,287184489.0,282561224704.0,3.01,6049.62,sh000852
2020-03-10,5965.36,6206.41,6206.41,5902.39,285396201.0,281697181696.0,5.03,6206.41,sh000852
2020-03-11,6219.93,6122.91,6268.94,6122.91,264576806.0,263523061760.0,2.35,6122.91,sh000852
2020-03-12,6026.06,5999.64,6071.62,5938.93,219646036.0,213040443392.0,2.17,5999.64,sh000852
2020-03-13,5681.59,5945.46,5999.77,5681.59,251191642.0,242885914624.0,5.3,5945.46,sh000852
2020-03-16,5999.54,5657.77,6007.26,5638.39,246604652.0,242635526144.0,6.2,5657.77,sh000852
2020-03-17,5707.42,5642.92,5756.2,5436.6,207157724.0,196893925376.0,5.65,5642.92,sh000852
2020-03-18,5702.17,5556.11,5804.3,5556.11,205114829.0,208457588736.0,4.4,5556.11,sh000852
2020-03-19,5552.51,5617.19,5641.04,5453.04,190815762.0,188376961024.0,3.38,5617.19,sh000852
2020-03-20,5676.97,5670.47,5688.95,5574.62,172744000.0,174169395200.0,2.04,5670.47,sh000852
2020-03-23,5514.93,5416.57,5575.53,5398.95,170338394.0,164487503872.0,3.11,5416.57,sh000852
2020-03-24,5522.18,5517.26,5535.93,5344.42,175452306.0,170351800320.0,3.54,5517.26,sh000852
2020-03-25,5632.41,5646.63,5652.43,5589.96,182114811.0,173826281472.0,1.13,5646.63,sh000852
2020-03-26,5606.63,5595.43,5666.13,5582.93,165999235.0,156197376000.0,1.47,5595.43,sh000852
2020-03-27,5659.59,5553.61,5665.62,5550.54,154391841.0,148738322432.0,2.06,5553.61,sh000852
2020-03-30,5472.15,5415.41,5472.15,5362.8,159550464.0,152032096256.0,1.97,5415.41,sh000852
2020-03-31,5465.37,5427.13,5479.02,5414.31,141809523.0,134577123328.0,1.19,5427.13,sh000852
2020-04-01,5413.55,5403.3,5491.47,5391.54,147263583.0,141779251200.0,1.84,5403.3,sh000852
2020-04-02,5376.66,5538.6,5538.6,5367.57,145938760.0,145762148352.0,3.17,5538.6,sh000852
2020-04-03,5525.77,5507.12,5558.38,5482.06,140577690.0,142765023232.0,1.38,5507.12,sh000852
2020-04-07,5605.27,5695.17,5697.76,5599.82,178924142.0,176686383104.0,1.78,5695.17,sh000852
2020-04-08,5673.34,5718.13,5739.3,5661.95,183301368.0,176221118464.0,1.36,5718.13,sh000852
2020-04-09,5750.89,5789.26,5802.65,5740.03,182524762.0,171622576128.0,1.1,5789.26,sh000852
2020-04-10,5787.54,5637.53,5787.54,5619.7,191472399.0,182471016448.0,2.9,5637.53,sh000852
2020-04-13,5590.32,5578.86,5613.41,5542.57,139328571.0,131715043328.0,1.26,5578.86,sh000852
2020-04-14,5605.91,5692.0,5692.0,5599.91,142344159.0,141850181632.0,1.65,5692.0,sh000852
2020-04-15,5689.73,5657.95,5720.42,5655.22,164401928.0,163166375936.0,1.15,5657.95,sh000852
2020-04-16,5626.84,5700.96,5711.72,5617.05,156294198.0,156510142464.0,1.67,5700.96,sh000852
2020-04-17,5735.9,5710.05,5764.79,5702.01,185552049.0,188354568192.0,1.1,5710.05,sh000852
2020-04-20,5722.73,5803.4,5803.4,5714.32,163679969.0,166394712064.0,1.56,5803.4,sh000852
2020-04-21,5780.86,5773.01,5780.86,5711.17,175001518.0,174277550080.0,1.2,5773.01,sh000852
2020-04-22,5721.53,5826.56,5826.58,5710.81,168439606.0,163030609920.0,2.01,5826.56,sh000852
2020-04-23,5841.4,5789.48,5846.38,5789.1,187886351.0,183378206720.0,0.98,5789.48,sh000852
2020-04-24,5782.29,5675.51,5784.11,5654.22,181572078.0,169234194432.0,2.24,5675.51,sh000852
2020-04-27,5675.57,5645.66,5699.77,5617.52,146874427.0,138599116800.0,1.45,5645.66,sh000852
2020-04-28,5641.29,5561.2,5644.35,5395.57,183952128.0,169968463872.0,4.41,5561.2,sh000852
